timestamp,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,fraud_score,balance_change_src,balance_change_dst,is_merchant,amount_ratio,balance_ratio_src
2024-01-01 00:08:00,0,PAYMENT,300.83,C_000084,2058.2,1757.37,C_000046,1139.38,1440.21,0,0,0.08283558973303744,-300.8299999999999,300.8299999999999,0,0.14609071484071484,0.8534236596736597
2024-01-01 01:04:12,0,PAYMENT,92.24,C_000196,600.25,508.01,C_000142,5735.94,5828.179999999999,0,0,0.27910999737045883,-92.24000000000001,92.23999999999978,0,0.1534137214137214,0.8449230769230769
2024-01-01 01:24:24,1,PAYMENT,23.96,C_000118,16625.43,16601.47,C_000145,125.39,149.35,0,0,0.10939199730413489,-23.959999999999127,23.959999999999994,0,0.001441079053049873,0.9984987757444022
2024-01-01 01:53:36,2,TRANSFER,5112.06,C_000007,6860.06,1748.0,C_000039,152.81,5264.870000000001,0,0,0.2572981191126769,-5112.06,5112.06,0,0.7450831212669763,0.25477112865942
2024-01-01 03:04:48,2,TRANSFER,6210.4,C_000054,8275.53,2065.130000000001,M_000004,2930.66,9141.06,1,0,0.7389696413610432,-6210.4,6210.4,1,0.7503627728045448,0.2495164036135918
2024-01-01 03:13:00,3,DEBIT,119.09,C_000129,11160.07,11040.98,C_000099,195.56,314.65,0,0,0.15435808097467213,-119.09000000000015,119.08999999999997,0,0.010670123921810364,0.9892402789338298
2024-01-01 04:09:12,4,PAYMENT,59.77,C_000172,14477.34,14417.57,C_000077,1177.39,1237.16,0,0,0.032065588646718164,-59.77000000000044,59.76999999999998,0,0.004128235695528631,0.9958026956128948
2024-01-01 05:10:24,5,DEBIT,18.39,C_000120,7280.59,7262.2,C_000115,3351.15,3369.54,0,0,0.1980356708988522,-18.390000000000327,18.389999999999873,0,0.002525547304915547,0.9973371200520765
2024-01-01 06:12:36,5,CASH_IN,145.65,C_000173,201.88,56.22999999999999,C_000134,1234.15,1379.8000000000002,0,0,0.2508237825500515,-145.65,145.6500000000001,0,0.7179120662460569,0.27715891167192425
2024-01-01 06:16:48,6,PAYMENT,170.91,C_000106,211.83,40.920000000000016,C_000151,593.89,764.8,0,0,0.21553418439072483,-170.91,170.90999999999997,0,0.8030352863788,0.1922661278955035
2024-01-01 07:04:00,7,CASH_OUT,89.74,C_000047,2482.57,2392.8300000000004,C_000187,991.15,1080.8899999999999,0,0,0.1569775538815972,-89.73999999999978,89.7399999999999,0,0.036133469159315014,0.9634638846499194
2024-01-01 07:35:12,7,TRANSFER,21.9,C_000123,800.17,778.27,C_000091,1835.12,1857.02,0,0,0.013534763580437847,-21.899999999999977,21.90000000000009,0,0.027335022529550532,0.9714168029257212
